paper_id,reinstein_pred,metaculus,geom_wt,linear_wt,guided_weight,final_impulsive_choice
@1.WillVladimirPutinbePresidentofRussia,82,75,78.69289669,81.66219322,78.47101798,67
@2.WillUkrainecontrolthecityofSevastopol,54,8,17.8560062,26.93467571,22.95813638,54
@3.WillUkrainecontrolthecityofLuhansk,70,16,31.05136725,39.40467284,34.49120802,70
@4.WillUkrainecontrolthecityofZaporizhzhia,94,76,66.54110951,71.03739697,76.7157013,94
@5.WilltherebealastingceasefireintheRussiaUkrainewar,45,24,32.96714344,40.13861409,33.22115151,25
@6.WilltheKerchBridgebedestroyedsuchthatnovehiclecanpassoverit,49,20,26.08881068,32.21528647,29.46081943,40
@7.WillanissueinvolvinganuclearpowerplantinUkrainerequireevacuat,38,19,18.32436038,24.27822282,23.72051664,25
@8.Willanuclearweaponbedetonatedincludingtestsandaccidents,50,20,10.48946242,19.1774239,23.93337726,40
@9.Willanuclearweaponbeusedinwarienotatestoraccidentandkillatlea,24,,3.148461096,5.610207968,6.551733813,25
@10.WillChinalaunchafullscaleinvasionofTaiwan,4,3,5.869098457,9.13889095,5.001597881,4
@11.WillanynewcountryjoinNATO,96,80,58.82897878,68.5912338,76.68404252,96
@12.WillAliKhameiniceasetobeSupremeLeaderofIran,20,21,23.63132282,30.64605501,23.25547557,23
@13.WillanyotherwarhavemorecasualtiesthanRussiaUkraine,25,12,10.42996855,16.45708494,15.1774107,10
@14.Willtherebemorethan25millionconfirmedCOVIDcasesinChina,4,50,36.1055549,50.155614,38.05223378,38
@15.WillpredictionmarketssayJoeBidenisthemostlikelyDemocraticnom,80,70,59.35608304,65.64020915,68.99925844,80
@16.WillpredictionmarketssayGavinNewsomisthemostlikelyDemocratic,4,9,10.16797284,15.56597277,9.54678912,4
@17.WillpredictionmarketssayDonaldTrumpisthemostlikelyRepublican,25,35,32.83995977,38.63608723,33.2952094,30
@18.WillpredictionmarketssayRonDeSantisisthemostlikelyRepublican,60,60,43.80623633,48.85162305,54.53157188,60
@19.WilltheSupremeCourtruleagainstaffirmativeaction,96,78,61.71556111,67.66020259,76.27515274,85
@20.WilltherebeanychangeinthecompositionoftheSupremeCourt,20,17,21.74911777,28.02178316,20.75418018,21
@21.WillDonaldTrumpmakeatleastonetweet,50,75,37.87111152,49.31624002,57.43747031,75
@22.WillJoeBidenhaveapositiveapprovalminusdispprovalrating,21,16,18.85163513,24.2077409,19.21187521,22
@23.WillDonaldTrumpgetindictedoncriminalcharges,76,52,33.56149648,42.13889435,51.14007817,62
@24.WillamajorUSpoliticalfigurebekilledorwoundedinanassassinatio,8,NA,11.89307283,18.36859404,,10
@25.WillRishiSunakbePrimeMinisteroftheUK,88,80,62.3791296,67.48292348,75.57241062,75
@26.WilltheUKholdageneralelection,12,15,20.81203189,27.3853955,18.03948548,14
@27.WillElonMuskremainownerofTwitter,89,82,76.00226039,78.66387056,81.53322619,80
@28.WillTwitterapossnetincomebehigherin2023thanin2022,45,50,33.00450285,43.36684315,44.2742692,41
@29.WillTwitterapossaveragemonetizabledailyusersbehigherin2023th,50,59,43.81089087,53.88547908,53.13927399,51
@30.WillUSCPIinflationfor2023averageabove4,78,55,49.57148925,56.32225237,58.77874832,62
@31.WilltheSampP500indexgoupover2023,58,50,58.69440953,64.7492842,56.28873875,58
@32.WilltheSampP500indexreachanewalltimehigh,17,30,25.97658854,34.89913812,27.57514533,29
@33.WilltheShanghaiindexofChinesestocksgoupover2023,60,67,48.77056739,53.84655556,59.32342459,56
@34.WillBitcoingoupover2023,27,70,44.24128824,50.72698044,52.39365374,60
@35.WillBitcoinend2023above$30000,10,,19.73880129,27.31074198,11.40990866,16
@36.WillTetherdepeg,55,25,35.43056002,42.77213407,36.64053882,35
@37.WilltheUSunemploymentratenow3.7beabove4inNovember2023,76,78,48.49352037,53.80067286,66.85883865,59
@38.WillanyFAANGorMuskcompanyacceptcryptoasapayment,21,30,25.39990763,34.2299501,28.12597155,29
@39.WillOpenAIreleaseGPT4,40,83,65.40733164,70.37544504,68.35655534,75
@40.WillSpaceXapossStarshipreachorbit,36,84,60.97103809,65.30505711,66.05521904,67
@41.WillanimagemodelwinScottAlexander�sbetoncompositionalitytoEd,79,66,53.69526284,58.87899818,64.7148522,59
@42.WillCOVIDkillatleast50asmanypeoplein2023asitdidin2022,22,61,41.76162396,49.58022288,47.06836937,48
@43.WillanewversionofCOVIDbesubstantiallyabletoescapeOmicronvacc,83,52,39.59091139,46.10403501,54.53898928,46
@44.WillGoogleMetaAmazonorApplereleaseanARheadset,94,71,40.97534932,48.44343496,65.08375686,70
@45.WillanordinarypersonbeabletotakeaselfdrivingtaxifromOaklandS,20,24,21.93637925,28.59469919,23.70621569,24
@46.WillaculturedmeatproductbeavailableinatleastoneUSstoreorrest,65,50,29.90840666,38.41065762,46.66381286,39
@47.Willasuccessfuldeepfakeattemptcausingrealdamagemakethefrontp,42,34,29.35874753,37.72838101,35.41742571,33
@48.WillWHOdeclareanewGlobalHealthEmergency,46,34,23.54816153,30.05576457,33.52078522,29
@49.WillAIwinaprogrammingcompetition,35,41,28.2500413,39.02170997,36.85435025,35
@50.WillsomeonereleasequotDALLEbutforvideosquot,80,90,41.20337752,52.59899793,70.76047509,59
